Conference Name;Corrected Conference Names;TRIMED Names
International Symposium on Applied Machine Intelligence and Informatics;International Symposium on Applied Machine Intelligence and Informatics;International Symposium on Applied Machine Intelligence and Informatics
International Symposium on Applied Computational Intelligence and Informatics;International Symposium on Applied Computational Intelligence and Informatics;International Symposium on Applied Computational Intelligence and Informatics
International Scientific Conference Management of Technology   Step to Sustainable Production;International Scientific Conference Management of Technology Step to Sustainable Production;International Scientific Conference Management of Technology Step to Sustainable Production
International Conference on Signal Image Technology & Internet based Systems;International Conference on Signal Image Technology and Internet based Systems;International Conference on Signal Image Technology and Internet based Systems
International Conference on Cooperative Design, Visualization & Engineering;International Conference on Cooperative Design, Visualization & Engineering;International Conference on Cooperative Design, Visualization & Engineering
International Conference on Web Information Systems and Technologies;International Conference on Web Information Systems and Technologies;International Conference on Web Information Systems and Technologies
Frontiers in Education Conference;Frontiers in Education Conference;Frontiers in Education Conference
IEEE International Conference  on Systems, Man, and  Cybernetics;IEEE International Conference  on Systems, Man, and  Cybernetics;IEEE International Conference on Systems, Man, and Cybernetics
International Symposium on Mixed and Augmented reality -  Science & Technology;International Symposium on Mixed and Augmented reality;International Symposium on Mixed and Augmented reality
International Conference on Automation and Computing;International Conference on Automation and Computing;International Conference on Automation and Computing
International Conference on Mathematical Modeling in Physical Sciences;International Conference on Mathematical Modeling in Physical Sciences;International Conference on Mathematical Modeling in Physical Sciences
International Work-Conference on Bioinformatics and Biomedical Engineering;International Work-Conference on Bioinformatics and Biomedical Engineering;International Work-Conference on Bioinformatics and Biomedical Engineering
International Conference  on  Intelligent Engineering Systems;International Conference on Intelligent Engineering Systems;International Conference on Intelligent Engineering Systems
Industrial Product-Service Systems Conference;CIRP Conference on Industrial Product-Service Systems ;CIRP Conference on Industrial Product-Service Systems
International Symposium on Intelligent Manufacturing and Automation;DAAAM International Symposium on Intelligent Manufacturing and  Automation ;DAAAM International Symposium on Intelligent Manufacturing and Automation
Conference on enterprise Information Systems;Conference on Enterprise Information Systems;Conference on Enterprise Information Systems
International Conference on Computer-Aided Industrial Design and Conceptual Design;IEEE International Conference on Computer-Aided Industrial Design and Conceptual Design;IEEE International Conference on Computer-Aided Industrial Design and Conceptual Design
International Conference on System of Systems Engineering;IEEE International Conference on System of Systems Engineering;IEEE International Conference on System of Systems Engineering
International Conference on Systems, Man and Cybernetics;IEEE International Conference on Systems, Man and Cybernetics;IEEE International Conference on Systems, Man and Cybernetics
International Conference on Concurrent Engineering;ISPE International Conference on Concurrent Engineering;ISPE International Conference on Concurrent Engineering
International Through-life Engineering Services Conference;International Through-life Engineering Services Conference;International Through-life Engineering Services Conference
IEEE International Conference on Computer Supported Cooperative Work in Design;International Conference on Computer Supported Cooperative Work in Design;International Conference on Computer Supported Cooperative Work in Design
ACM Symposium on Solid and Physical Modeling;ACM Symposium on Solid and Physical Modeling;ACM Symposium on Solid and Physical Modeling
ASME Biennial Conference on Engineering Systems Design and Analysis;ASME Biennial Conference on Engineering Systems Design and Analysis;ASME Biennial Conference on Engineering Systems Design and Analysis
ASME International Design Engineering Technical Conference/Computers and Information in Engineering Conference;ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference;ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference
Advanced Production Management Systems Conference;Advanced Production Management Systems Conference;Advanced Production Management Systems Conference
Annual Conference of the IEEE Industrial-Electronics-Society;Annual Conference of The IEEE Industrial Electronics Society;Annual Conference of The IEEE Industrial Electronics Society
Annual Frontiers in EducationConference;IEEE Frontiers in Education Conference(FIE);IEEE Frontiers in Education Conference(FIE)
Annual SEMI Advanced Semiconductor Manufacturing Conference;Annual SEMI Advanced Semiconductor Manufacturing Conference;Annual SEMI Advanced Semiconductor Manufacturing Conference
CIRP Industrial Product-Service Systems Conference;CIRP Conference on Industrial Product-Service Systems ;CIRP Conference on Industrial Product-Service Systems
CIRP Intelligent Computation in Manufacturing Engineering Conference;CIRP Conference on Intelligent Computation in Manufacturing Engineering ;CIRP Conference on Intelligent Computation in Manufacturing Engineering
CIRP Life Cycle Engineering Conference;CIRP Conference on Life Cycle Engineering ;CIRP Conference on Life Cycle Engineering
Chinese Control and Decision Conference;Chinese Control and Decision Conference;Chinese Control and Decision Conference
Conference of the Portland International Center for Management of Engineering and Technology;Conference : Portland International Center for Management of Engineering and Technology ;Conference : Portland International Center for Management of Engineering and Technology
Conference on Current Developments in Lens Design and Optical Engineering;Conference on Current Developments in Lens Design and Optical Engineering;Conference on Current Developments in Lens Design and Optical Engineering
Conference on Electronic Commerce, Web Application and Communication;International Conference on Electronic Commerce, Web Application and Communication;International Conference on Electronic Commerce, Web Application and Communication
Conference on Engineering Reality of Virtual Reality;Conference : The Engineering Reality of Virtual Reality;Conference : The Engineering Reality of Virtual Reality
Conference on Enterprise Information Systems;Conference on Enterprise Information Systems;Conference on Enterprise Information Systems
Conference on Informatics in Higher Education;International Conference on Information Technology Based Higher Education and Training;International Conference on Information Technology Based Higher Education and Training
Conference on Knowledge Enterprise;International Conference on Knowledge, Innovation and Enterprise;International Conference on Knowledge, Innovation and Enterprise
Conference on Manufacturing Systems;International Conference on Manufacturing Systems and Technology of the Future;International Conference on Manufacturing Systems and Technology of the Future
European Concurrent Engineering Conference;European Concurrent Engineering Conference;European Concurrent Engineering Conference
European Conference on Knowledge Management;European Conference on Knowledge Management;European Conference on Knowledge Management
European Conference on Product and Process Modelling;European Conference on Product and Process Modelling;European Conference on Product and Process Modelling
European Conference on Software Process Improvement;European Conference on Software Process Improvement;European Conference on Software Process Improvement
European Symposium on Computer Aided Process Engineering;European Symposium on Computer Aided Process Engineering;European Symposium on Computer Aided Process Engineering
Global Congress on Manufacturing and Management;Global Congress on Manufacturing and Management;Global Congress on Manufacturing and Management
IEEE Asia-Pacific Services Computing Conference;IEEE Asia-Pacific Services Computing Conference;IEEE Asia-Pacific Services Computing Conference
IEEE International Conference on Advanced Information Networking and Applications;IEEE International Conference on Advanced Information Networking and Applications;IEEE International Conference on Advanced Information Networking and Applications
IEEE International Conference on Cloud Computing;IEEE International Conference on Cloud Computing;IEEE International Conference on Cloud Computing
IEEE International Conference on Computer-Aided Industrial Design and Conceptual Design;IEEE International Conference on Computer-Aided Industrial Design and Conceptual Design;IEEE International Conference on Computer-Aided Industrial Design and Conceptual Design
IEEE International Conference on Emerging Technologies and Factory Automation;IEEE International Conference on Emerging Technologies and Factory Automation;IEEE International Conference on Emerging Technologies and Factory Automation
IEEE International Conference on Industrial Technology;IEEE International Conference on Industrial Technology;IEEE International Conference on Industrial Technology
IEEE International Conference on Management of Innovation and Technology;IEEE International Conference on Management of Innovation and Technology;IEEE International Conference on Management of Innovation and Technology
IEEE International Conference on Research Challenges in Information Science;IEEE International Conference on Research Challenges in Information Science;IEEE International Conference on Research Challenges in Information Science
IEEE International Conference on System of Systems Engineering;IEEE International Conference on System of Systems Engineering;IEEE International Conference on System of Systems Engineering
IEEE International Conference on Systems, Man and Cybernetics;IEEE International Conference on Systems, Man and Cybernetics;IEEE International Conference on Systems, Man and Cybernetics
IEEE International Technology Management Conference;IEEE International Technology Management Conference;IEEE International Technology Management Conference
IEEE Region 10 Conference;IEEE Region 10 Conference ;IEEE Region 10 Conference
IEEE/ACM International Conference on Green Computing and Communications;IEEE International Conference on Green Computing and Communications;IEEE International Conference on Green Computing and Communications
IFAC International Symposium;IFAC International Symposium ;IFAC International Symposium
IFIP TC 5 International Conference;IFIP TC 5 International Conference ;IFIP TC 5 International Conference
IFIP WG 5.7 International Conference on Advances in Production Management Systems;IFIP WG 5.7 International Conference on Advances in Production Management Systems;IFIP WG 5.7 International Conference on Advances in Production Management Systems
IMACS Multiconference on Computational Engineering in Systems Applications;IMACS Multiconference on Computational Engineering in Systems Applications;IMACS Multiconference on Computational Engineering in Systems Applications
